Comparing EXCEL file with EXCEL file

-->> Comparing Length of both files_2022.09.04.11.12.26 
[INFO] Number of records in both files is the same [6]

-->> Comparing COLUMNS in both files_2022.09.04.11.12.26 
[INFO] Number of columns in both files is the same [6]

-->> Comparing DATA in both files_2022.09.04.11.12.26

	ERROR[2022.09.04.11.12.26]: @ID = [1000] COLUMN_NAME in SHEET#1 = [LOCATION_ID] VALUE in SHEET#1 = [1000]  COLUMN_NAME in SHEET#2 = [LOC_ID] VALUE in SHEET#2= [100]
	ERROR[2022.09.04.11.12.26]: @ID = [1000] COLUMN_NAME in SHEET#1 = [STREET_ADDRESS] VALUE in SHEET#1 = [Mariano Escobedo 10968]  COLUMN_NAME in SHEET#2 = [STR_ADDRESS] VALUE in SHEET#2= [Mariano Escobedo 10068]
	ERROR[2022.09.04.11.12.26]: @ID = [1000] COLUMN_NAME in SHEET#1 = [POSTAL_CODE] VALUE in SHEET#1 = [1988]  COLUMN_NAME in SHEET#2 = [POSTAL_CODE] VALUE in SHEET#2= [1088]

	ERROR[2022.09.04.11.12.26]: @ID = [1001] COLUMN_NAME in SHEET#1 = [LOCATION_ID] VALUE in SHEET#1 = [1001]  COLUMN_NAME in SHEET#2 = [LOC_ID] VALUE in SHEET#2= [101]
	ERROR[2022.09.04.11.12.26]: @ID = [1001] COLUMN_NAME in SHEET#1 = [STREET_ADDRESS] VALUE in SHEET#1 = [Mariano Escobedo 10969]  COLUMN_NAME in SHEET#2 = [STR_ADDRESS] VALUE in SHEET#2= [Mariano Escobedo 10069]
	ERROR[2022.09.04.11.12.26]: @ID = [1001] COLUMN_NAME in SHEET#1 = [POSTAL_CODE] VALUE in SHEET#1 = [1989]  COLUMN_NAME in SHEET#2 = [POSTAL_CODE] VALUE in SHEET#2= [1089]

	ERROR[2022.09.04.11.12.26]: @ID = [1002] COLUMN_NAME in SHEET#1 = [LOCATION_ID] VALUE in SHEET#1 = [1002]  COLUMN_NAME in SHEET#2 = [LOC_ID] VALUE in SHEET#2= [102]
	ERROR[2022.09.04.11.12.26]: @ID = [1002] COLUMN_NAME in SHEET#1 = [STREET_ADDRESS] VALUE in SHEET#1 = [Mariano Escobedo 10970]  COLUMN_NAME in SHEET#2 = [STR_ADDRESS] VALUE in SHEET#2= [Mariano Escobedo 10070]
	ERROR[2022.09.04.11.12.26]: @ID = [1002] COLUMN_NAME in SHEET#1 = [POSTAL_CODE] VALUE in SHEET#1 = [1990]  COLUMN_NAME in SHEET#2 = [POSTAL_CODE] VALUE in SHEET#2= [1090]

	ERROR[2022.09.04.11.12.26]: @ID = [1003] COLUMN_NAME in SHEET#1 = [LOCATION_ID] VALUE in SHEET#1 = [1003]  COLUMN_NAME in SHEET#2 = [LOC_ID] VALUE in SHEET#2= [103]
	ERROR[2022.09.04.11.12.26]: @ID = [1003] COLUMN_NAME in SHEET#1 = [STREET_ADDRESS] VALUE in SHEET#1 = [Mariano Escobedo 10971]  COLUMN_NAME in SHEET#2 = [STR_ADDRESS] VALUE in SHEET#2= [Mariano Escobedo 10071]
	ERROR[2022.09.04.11.12.26]: @ID = [1003] COLUMN_NAME in SHEET#1 = [POSTAL_CODE] VALUE in SHEET#1 = [1991]  COLUMN_NAME in SHEET#2 = [POSTAL_CODE] VALUE in SHEET#2= [1091]

	ERROR[2022.09.04.11.12.26]: @ID = [1004] COLUMN_NAME in SHEET#1 = [LOCATION_ID] VALUE in SHEET#1 = [1004]  COLUMN_NAME in SHEET#2 = [LOC_ID] VALUE in SHEET#2= [104]
	ERROR[2022.09.04.11.12.26]: @ID = [1004] COLUMN_NAME in SHEET#1 = [STREET_ADDRESS] VALUE in SHEET#1 = [Mariano Escobedo 10972]  COLUMN_NAME in SHEET#2 = [STR_ADDRESS] VALUE in SHEET#2= [Mariano Escobedo 10072]
	ERROR[2022.09.04.11.12.26]: @ID = [1004] COLUMN_NAME in SHEET#1 = [POSTAL_CODE] VALUE in SHEET#1 = [1992]  COLUMN_NAME in SHEET#2 = [POSTAL_CODE] VALUE in SHEET#2= [1092]

Comparing Done.
